"No reCaptcha token.","No reCaptcha token."
"The secret parameter is missing.","The secret parameter is missing."
"The secret parameter is invalid or malformed.","The secret parameter is invalid or malformed."
"The response parameter is missing.","The response parameter is missing."
"The response parameter is invalid or malformed.","The response parameter is invalid or malformed."
"The request is invalid or malformed.","The request is invalid or malformed."
"Something is wrong.","Something is wrong."
"Bottom Right","Bottom Right"
"Bottom Left","Bottom Left"
Light,Light
Dark,Dark
Yes,Yes
No,No
"Not Installed","Not Installed"
"Google Invisible Captcha","Google Invisible Captcha"
"General Settings","General Settings"
"Enable invisible captcha","Enable invisible captcha"
"Site key","Site key"
"You can generate site key <a href=""https://www.google.com/recaptcha/admin"" target=""_blank"">here</a>","You can generate site key <a href=""https://www.google.com/recaptcha/admin"" target=""_blank"">here</a>"
"Secret key","Secret key"
"You can generate secret key <a href=""https://www.google.com/recaptcha/admin"" target=""_blank"">here</a>","You can generate secret key <a href=""https://www.google.com/recaptcha/admin"" target=""_blank"">here</a>"
Language,Language
"Please leave empty to allow Google to detect a language of user agent or please set needed value from the following list of <a href=""https://developers.google.com/recaptcha/docs/language"" target=""_blank"">languages</a>","Please leave empty to allow Google to detect a language of user agent or please set needed value from the following list of <a href=""https://developers.google.com/recaptcha/docs/language"" target=""_blank"">languages</a>"
"Theme of Captcha Badge","Theme of Captcha Badge"
"Provided by Google","Provided by Google"
"Position for Captcha Badge","Position for Captcha Badge"
"The extension does not support the inline position for the Captcha Badge, because  explicitly renders the reCAPTCHA widget.","The extension does not support the inline position for the Captcha Badge, because  explicitly renders the reCAPTCHA widget."
"Invisible Captcha for Yashh Extensions","Invisible Captcha for Yashh Extensions"
"Custom Form","Custom Form"
"Create customizable forms to collect additional information about your customers and view the received data from the admin panel. <a href=""https://amasty.com/custom-form-for-magento-2.html?utm_source=extension&utm_medium=link&utm_campaign=captcham2-cform2"" target=""_blank"">Learn more.</a>","Create customizable forms to collect additional information about your customers and view the received data from the admin panel. <a href=""https://amasty.com/custom-form-for-magento-2.html?utm_source=extension&utm_medium=link&utm_campaign=captcham2-cform2"" target=""_blank"">Learn more.</a>"
"FAQ and Product Questions","FAQ and Product Questions"
"Let users ask questions on product pages and use this content to widen your store semantic core. Organize questions into seo optimized, responsive and easy to navigate knowledge base. <a href=""https://amasty.com/faq-and-product-questions-for-magento-2.html?utm_source=extension&utm_medium=link&utm_campaign=captcham2-faqm2"" target=""_blank"">Learn more.</a>","Let users ask questions on product pages and use this content to widen your store semantic core. Organize questions into seo optimized, responsive and easy to navigate knowledge base. <a href=""https://amasty.com/faq-and-product-questions-for-magento-2.html?utm_source=extension&utm_medium=link&utm_campaign=captcham2-faqm2"" target=""_blank"">Learn more.</a>"
"Advanced Settings","Advanced Settings"
"Urls to enable","Urls to enable"
"For example: <strong>customer/account/createpost</strong> </br>Each url must be on a new line </br> <a href=""https://amasty.com/docs/doku.php?id=magento_2:google_invisible-recaptcha-m2#advanced_settings"" target=""_blank"">How to choose URL</a>","For example: <strong>customer/account/createpost</strong> </br>Each url must be on a new line </br> <a href=""https://amasty.com/docs/doku.php?id=magento_2:google_invisible-recaptcha-m2#advanced_settings"" target=""_blank"">How to choose URL</a>"
"Selectors for forms","Selectors for forms"
"For example: <strong>form[action*=""customer/account/createpost""]</strong> </br>Each selector must be on a new line","For example: <strong>form[action*=""customer/account/createpost""]</strong> </br>Each selector must be on a new line"
"Enable Invisible Captcha for guests only","Enable Invisible Captcha for guests only"
"IP whitelist","IP whitelist"
"Invisible Captcha will be disabled for the following IP addresses </br>For example: <strong>192.168.1.2</strong> </br>Each IP must be on a new line","Invisible Captcha will be disabled for the following IP addresses </br>For example: <strong>192.168.1.2</strong> </br>Each IP must be on a new line"
